CustomerID,Name,Age,Gender,Country,IncomeLevel,CustomerTier,Date,Product Type,Channel Type,Order Amount,support_interacation_count,problem type,support_resolution_time,resolution_satisfication,website_logins/day,browsing_time/hr,email_open_rate,ChurnIndicator
75,Adler Stallwood,39,Female,India,Medium,Gold,05-07-2024,Makeup,Offline,10368,5,Product Quality,4,7,2,5.4,2,1
76,Ondrea Mose,80,Female,India,Low,Silver,6/20/2023,Makeup,Online,2652,2,Product Quality,10,8,1,3.6,3,1
77,Else Durning,43,Transgender,India,Medium,Gold,02-12-2023,Makeup,Online,7498,9,Late Delivery,18,3,10,5.3,4,1
78,Marta Clinnick,81,Female,Canada,High,Gold,1/22/2023,Skincare,Online,10497,3,Product Quality,12,1,10,3.6,5,0
79,Rhetta Laroux,19,Female,Canada,Medium,Gold,04-08-2023,Haircare,Offline,7190,1,Late Delivery,8,7,7,3.3,0,0
80,Madel Holworth,65,Female,Singapore,Low,Gold,9/15/2023,Makeup,Online,9803,3,Late Delivery,20,5,3,1.5,1,1
81,Tracy MacCoveney,65,Male,Canada,Medium,Silver,11/29/2023,Skincare,Offline,2218,10,Late Delivery,19,4,9,0.0,3,1
82,Paulina Le Friec,50,Female,Singapore,Low,Silver,10-10-2023,Makeup,Online,6706,5,Product Quality,16,2,8,3.7,4,0
83,Lil Orchard,8,Male,United States,Medium,Gold,05-10-2024,Makeup,Online,1583,10,Side Effects,3,5,10,0.8,3,1
84,Reeba Selley,24,Female,India,High,Silver,11/26/2024,Haircare,Online,4241,4,Product Quality,5,5,7,3.8,5,0
85,Maison Wraighte,14,Male,Canada,Medium,Gold,9/20/2023,Makeup,Online,5760,7,Product Quality,16,4,5,3.4,5,1
86,Steffane Klaiser,26,Female,Australia,Low,Silver,9/27/2023,Makeup,Online,2879,10,Wrong Item Received,6,3,10,2.4,4,1
87,Parke Lyosik,71,Male,India,Medium,Silver,06-12-2024,Skincare,Online,7953,3,Late Delivery,13,5,6,0.5,5,1
88,Grace Gillani,75,Female,Singapore,Low,Gold,3/28/2024,Makeup,Online,908,9,Product Quality,13,9,3,3.1,6,1
89,Bendix Wilcher,62,Transgender,India,Low,Gold,9/13/2024,Makeup,Online,6975,7,Side Effects,7,9,4,2.1,0,0
90,Wanda Coste,61,Female,United Arab Emirates,Medium,Bronze,10-08-2023,Makeup,Online,7492,9,Product Quality,3,8,7,2.4,3,1
91,Jaquelin Redsall,56,Male,India,Low,Silver,1/28/2023,Skincare,Online,547,3,Product Quality,9,10,2,4.4,6,0
92,Lyndsie Mill,12,Male,Singapore,Low,Silver,10/26/2023,Makeup,Online,9524,1,Product Quality,23,3,8,5.0,0,1
93,Anne Ker,81,Female,India,Medium,Bronze,8/16/2023,BodyCare,Offline,2896,2,Late Delivery,20,2,1,3.5,6,1
94,Florie Orwin,44,Female,India,High,Silver,7/22/2023,Makeup,Online,4001,8,Side Effects,10,8,2,5.3,1,1
95,Drud Yewdale,71,Male,India,Medium,Silver,08-08-2023,Skincare,Online,3896,4,Product Quality,9,10,7,0.2,2,1
96,Tera Yakovlev,81,Transgender,Australia,Medium,Gold,08-02-2023,BodyCare,Offline,3876,4,Late Delivery,8,10,5,2.2,3,0
97,Celie Rives,60,Female,Canada,High,Platinum,02-09-2023,Skincare,Online,4847,8,Product Quality,9,3,5,0.2,1,0
98,Susan Hallede,46,Male,India,Low,Gold,07-12-2023,Makeup,Offline,2385,3,Product Quality,4,2,0,0.4,1,1
99,Colan Raden,52,Transgender,Australia,High,Silver,8/29/2023,Makeup,Online,1945,9,Product Quality,10,3,0,1.2,0,0
100,Rozina Janny,15,Female,United States,Low,Silver,09-06-2023,Makeup,Online,6751,10,Product Quality,22,2,1,2.1,3,1
101,Tate Gillinghams,80,Female,Canada,Medium,Gold,10/30/2024,Makeup,Online,979,7,Product Quality,3,6,5,3.8,5,0
102,Hirsch Clements,48,Male,United States,Low,Silver,09-02-2024,Makeup,Online,8541,5,Product Quality,14,7,10,3.9,6,1
103,Rod Undy,52,Female,India,Medium,Platinum,5/14/2024,Skincare,Online,7252,1,Product Quality,10,5,0,2.6,3,1
104,Cristi Henri,79,Female,India,High,Gold,4/28/2024,Makeup,Online,1736,7,Side Effects,2,4,9,5.0,1,1
105,Irwinn Chesnut,68,Female,India,High,Silver,1/13/2024,Skincare,Online,10948,2,Product Quality,4,3,1,2.0,1,1
106,Isadora Hitschke,68,Female,Canada,Low,Platinum,02-10-2023,BodyCare,Online,9089,1,Product Quality,18,8,0,4.5,1,0
107,Marve Hempshall,57,Female,United States,Low,Platinum,01-12-2024,Makeup,Online,713,6,Product Quality,13,7,4,0.2,4,1
108,Simmonds Pohl,28,Female,India,High,Gold,1/16/2024,Skincare,Online,6471,5,Late Delivery,12,10,7,1.7,2,1
109,Filbert Gillford,38,Female,India,High,Gold,8/17/2024,Haircare,Offline,9032,7,Product Quality,7,7,9,5.0,2,1
110,Leisha Zaczek,35,Male,United States,Medium,Silver,10-07-2024,BodyCare,Offline,4878,5,Product Quality,14,5,2,3.5,1,1
111,Felice Valett,46,Female,Singapore,Medium,Gold,02-04-2024,Skincare,Offline,1178,3,Late Delivery,18,1,8,2.1,5,0
112,Joye Mancell,59,Female,Australia,Low,Gold,02-10-2023,Skincare,Online,2075,4,Product Quality,3,5,0,1.0,1,1
113,Mannie Wroth,53,Male,United States,Medium,Platinum,04-11-2024,Makeup,Online,7417,3,Side Effects,7,9,5,5.6,6,1
114,Anya Shergill,78,Female,India,Medium,Silver,09-10-2024,BodyCare,Offline,621,7,Product Quality,9,7,7,3.2,6,1
115,Carilyn Huc,47,Female,United States,Medium,Silver,5/28/2024,Makeup,Online,501,1,Side Effects,22,6,9,5.5,2,1
116,Merissa Lemm,49,Female,Australia,High,Silver,8/21/2024,Makeup,Offline,8979,9,Late Delivery,7,3,8,2.4,1,0
117,Cara Kilian,12,Female,Qatar,Low,Gold,01-12-2023,Haircare,Online,1802,2,Late Delivery,22,1,3,2.2,2,1
118,Celeste Rubartelli,36,Transgender,India,Low,Gold,11-06-2023,Skincare,Online,1068,5,Side Effects,11,3,1,4.0,3,0
119,Nora oldey,49,Female,Singapore,High,Silver,11/13/2024,Makeup,Online,2127,1,Late Delivery,10,10,10,0.5,2,0
120,Malorie Mateo,53,Transgender,United States,Medium,Silver,6/24/2024,Skincare,Online,4263,9,Late Delivery,14,9,6,5.5,1,1
121,Skippie Tingey,71,Female,India,Medium,Silver,06-11-2024,Makeup,Online,3290,5,Late Delivery,14,4,6,3.4,0,1
122,Karena Gillebert,8,Male,Canada,Medium,Gold,03-06-2024,Makeup,Online,10035,10,Late Delivery,16,3,7,2.6,5,0
123,Livy Wield,79,Male,India,High,Gold,08-08-2024,Skincare,Offline,9760,8,Side Effects,13,6,2,0.1,1,1
124,Marylinda Ditchfield,24,Female,Malaysia,Medium,Gold,10-03-2023,Makeup,Online,6577,5,Late Delivery,5,9,1,4.3,6,1
125,Lorrayne Kloster,71,Female,India,Medium,Gold,04-07-2023,Skincare,Online,8563,1,Wrong Item Received,13,5,2,3.0,6,1
126,Gerrard Kewish,13,Male,India,Medium,Bronze,5/31/2023,BodyCare,Online,9731,6,Product Quality,23,2,9,5.8,1,1
127,Ivar Scartifield,27,Male,Qatar,Low,Gold,8/20/2024,Haircare,Online,4073,8,Product Quality,12,9,6,1.9,6,1
128,Dugald Donizeau,62,Female,Hong Kong,High,Gold,3/15/2023,Haircare,Online,10612,2,Product Quality,14,3,8,1.5,6,1
129,Karola Vickarman,82,Male,India,Medium,Gold,2/18/2024,BodyCare,Online,4062,1,Other,13,3,9,5.1,5,1
130,Brittan Demead,20,Female,India,Medium,Gold,11/25/2023,Makeup,Offline,9433,2,Product Quality,17,9,4,5.7,2,1
131,Eada Chaucer,40,Female,India,Medium,Gold,08-01-2024,Makeup,Online,1215,1,Late Delivery,19,10,10,1.9,0,1
132,Serena Kender,34,Female,India,Medium,Gold,10/31/2023,Makeup,Offline,5531,5,Late Delivery,1,4,2,1.6,2,1
133,Ulysses Castillon,63,Male,India,High,Gold,3/14/2024,BodyCare,Offline,2609,5,Late Delivery,19,4,2,3.4,2,0
134,Selena Polglaze,33,Female,Hong Kong,Low,Gold,8/24/2024,BodyCare,Online,1770,3,Product Quality,21,3,3,5.4,1,1
135,Juan Brayne,10,Female,United States,Medium,Silver,1/16/2024,Haircare,Offline,9836,8,Product Quality,14,3,5,4.9,2,0
136,North Raynard,18,Female,United States,Low,Gold,4/19/2024,Makeup,Offline,7818,4,Late Delivery,10,8,0,0.7,4,1
137,Thelma Maddyson,34,Female,India,High,Gold,09-08-2023,Makeup,Online,9219,5,Product Quality,22,6,7,1.3,6,1
138,Ian Stucksbury,31,Female,Japan,Low,Gold,7/15/2024,Skincare,Online,5133,8,Product Quality,9,8,1,2.5,0,0
139,Torie Beeton,80,Male,Japan,Medium,Silver,02-02-2024,Haircare,Offline,6094,3,Product Quality,7,2,1,5.5,1,1
140,Donnajean Archard,8,Female,United States,Low,Gold,7/23/2024,Makeup,Online,672,9,Wrong Item Received,6,6,7,3.1,2,1
141,Osborne Tugman,59,Female,Australia,Medium,Silver,4/13/2024,Makeup,Online,1410,6,Late Delivery,3,7,9,5.6,4,1
142,Lilah Londors,46,Female,United States,Low,Gold,8/29/2023,Makeup,Online,3693,5,Product Quality,5,3,6,1.6,4,0
143,Courtney Orrin,24,Male,Japan,Low,Silver,12-12-2023,Makeup,Online,9295,7,Late Delivery,19,4,1,5.1,0,1
144,Junette Porcher,65,Female,India,Medium,Gold,8/29/2024,Haircare,Online,939,4,Late Delivery,22,1,2,0.4,3,1
145,Alis Hunnybun,32,Male,India,Low,Platinum,07-08-2024,Skincare,Online,6556,10,Product Quality,18,1,10,4.7,2,1
146,Shayne Millbank,72,Male,Canada,Low,Gold,4/20/2024,Makeup,Online,1786,1,Product Quality,6,9,7,2.5,0,0
147,Glenine Crosston,38,Male,Australia,Low,Gold,4/30/2023,BodyCare,Online,2798,10,Late Delivery,18,6,3,2.4,3,1
148,Edythe Danilewicz,34,Female,India,Low,Gold,10-01-2024,Makeup,Offline,8193,5,Product Quality,4,4,7,5.1,3,1
149,Winfred Tarplee,17,Male,India,High,Silver,02-04-2023,Makeup,Online,1267,3,Product Quality,4,10,6,5.4,4,1
150,Ashleigh Colston,37,Male,India,Low,Platinum,03-01-2024,Makeup,Offline,3693,10,Product Quality,8,7,8,2.7,0,1
151,Ian Stirling,25,Female,India,Medium,Gold,08-12-2023,Makeup,Offline,1078,1,Product Quality,17,10,7,1.3,2,1
152,Riobard Forshaw,44,Female,Canada,Medium,Gold,08-04-2023,Skincare,Online,7433,10,Late Delivery,12,7,7,0.4,5,0
153,Trever Hassewell,77,Female,United States,Low,Gold,3/13/2024,Makeup,Online,5301,9,Late Delivery,10,5,1,1.5,0,1
154,Conan Filon,85,Male,Canada,High,Gold,05-07-2023,Skincare,Online,5200,3,Product Quality,5,10,6,3.3,4,0
155,Lynette Birkhead,9,Male,India,High,Gold,2/14/2023,Skincare,Online,8827,1,Side Effects,17,7,9,5.3,3,1
156,Preston Trorey,71,Male,Japan,Medium,Silver,09-01-2024,BodyCare,Online,8390,4,Product Quality,5,4,5,4.0,6,0
157,Anstice Antoszewski,24,Female,India,Medium,Platinum,09-10-2024,Makeup,Online,6325,8,Product Quality,17,3,9,2.5,4,0
158,Charissa Flobert,66,Male,Japan,Medium,Gold,7/17/2024,Makeup,Online,2858,2,Product Quality,4,2,10,4.6,4,1
159,Jacquelynn Macenzy,18,Male,India,Medium,Gold,4/26/2023,Makeup,Online,3220,2,Product Quality,20,6,5,3.2,5,1
160,Florinda Galler,9,Male,Qatar,Medium,Gold,01-03-2023,Skincare,Offline,666,10,Product Quality,11,5,2,3.7,3,1
161,Darby Curgenven,35,Female,Australia,Medium,Gold,10/26/2024,Skincare,Online,2399,4,Wrong Item Received,11,6,10,2.3,1,0
162,Gilbertina Andrelli,52,Female,Canada,Medium,Gold,9/21/2024,Makeup,Offline,10245,4,Wrong Item Received,21,3,10,4.5,1,1
163,Jannel Lanfere,61,Female,India,High,Gold,03-11-2023,Haircare,Online,6276,10,Late Delivery,19,1,4,2.6,1,1
164,Diannne Harlow,11,Female,Qatar,Medium,Silver,8/14/2024,Makeup,Offline,4593,5,Side Effects,20,3,3,5.8,1,0
165,Pietra Liger,54,Female,India,Low,Gold,01-02-2024,Makeup,Online,2212,4,Other,1,3,7,4.5,6,1
166,Roshelle Beazey,51,Female,Singapore,High,Gold,11-02-2024,Makeup,Online,2897,1,Late Delivery,9,8,3,1.7,0,1
167,Humfried Gwynn,67,Transgender,India,Low,Gold,04-09-2023,Skincare,Online,4090,7,Side Effects,4,6,1,1.5,4,1
168,Robbyn Swoffer,25,Female,India,Medium,Gold,4/27/2023,Makeup,Online,10085,6,Side Effects,5,4,8,0.1,3,1
169,Claire Sidwell,19,Transgender,Canada,Medium,Gold,4/27/2024,Makeup,Offline,1530,9,Late Delivery,7,5,0,3.1,1,1
170,Padriac Pietruschka,76,Female,Australia,Medium,Bronze,3/26/2024,Skincare,Offline,9630,10,Product Quality,7,2,8,1.2,0,0
171,Analise Blethin,35,Female,India,Medium,Gold,1/22/2024,Skincare,Offline,6258,7,Product Quality,6,9,5,5.9,5,1
172,Sergeant McLeish,30,Male,India,Medium,Platinum,8/28/2023,Skincare,Offline,2051,3,Product Quality,1,9,0,5.5,2,1
173,Dud Giral,78,Male,Malaysia,Medium,Bronze,9/17/2023,Makeup,Online,5808,9,Product Quality,6,9,4,3.8,2,1
174,Garvey Kinnock,65,Male,United States,Medium,Gold,9/19/2024,BodyCare,Online,5437,9,Product Quality,24,2,0,3.2,3,0
175,Deny Sustin,25,Female,Hong Kong,Medium,Silver,6/17/2023,Skincare,Offline,1744,3,Product Quality,11,9,3,1.1,1,1
176,Giffie Trenouth,66,Female,Singapore,Medium,Gold,3/31/2023,Skincare,Online,590,3,Side Effects,18,3,8,5.8,1,0
177,Anne-marie Applegarth,82,Male,United States,Low,Gold,08-07-2023,Skincare,Online,8315,4,Late Delivery,22,3,9,1.5,2,1
178,Appolonia Bartolacci,21,Female,Hong Kong,High,Gold,7/19/2023,Makeup,Online,5472,6,Product Quality,12,3,5,5.8,2,1
179,Cristie Barbera,25,Female,United Arab Emirates,Low,Silver,08-10-2023,BodyCare,Online,10644,4,Product Quality,6,6,8,0.4,5,0
180,Christin Piser,29,Female,United Arab Emirates,Medium,Gold,2/25/2024,Haircare,Offline,1800,6,Product Quality,12,10,5,4.9,1,1
181,Orland Gooderridge,75,Transgender,Singapore,High,Gold,06-11-2023,Makeup,Offline,5587,9,Product Quality,20,6,5,0.3,5,0
182,Nikita McCaughen,43,Transgender,India,Medium,Gold,02-04-2023,Skincare,Online,7486,8,Other,13,3,2,0.1,4,1
183,Jane Peyzer,81,Transgender,Japan,Medium,Bronze,8/26/2023,Skincare,Offline,2000,4,Late Delivery,19,1,9,2.1,6,1
184,Rozamond Bumpass,75,Male,Australia,Medium,Gold,03-03-2024,Makeup,Online,6326,3,Product Quality,2,4,3,1.6,5,1
185,Creight Knowlys,27,Female,India,Medium,Gold,08-05-2023,Haircare,Offline,6965,10,Product Quality,21,8,4,5.9,3,0
186,Killie McKerrow,54,Female,United States,Medium,Bronze,3/28/2024,Haircare,Online,7773,9,Product Quality,7,6,3,0.2,5,1
187,Lorenzo Lighterness,76,Female,India,High,Silver,06-11-2023,BodyCare,Offline,4923,8,Product Quality,18,7,5,3.4,1,0
188,Tonie Dreamer,35,Female,Qatar,Medium,Bronze,03-05-2023,Makeup,Offline,5585,10,Side Effects,9,4,1,3.1,1,1
189,Catlin Patry,45,Male,Qatar,Medium,Gold,5/29/2024,Makeup,Online,4495,5,Wrong Item Received,18,10,5,4.3,2,1
190,Caprice Desquesnes,71,Male,United States,Medium,Gold,1/17/2024,Makeup,Online,9606,7,Product Quality,13,10,6,4.2,3,1
191,Danyelle Scintsbury,61,Female,India,Low,Silver,4/30/2023,Skincare,Offline,10541,6,Late Delivery,19,9,1,1.9,2,1
192,Kristoffer Huddles,37,Female,India,High,Gold,3/13/2023,Haircare,Online,6947,5,Product Quality,22,4,4,4.8,0,0
193,Tobias Verecker,39,Male,Australia,Medium,Gold,10-09-2024,Makeup,Online,6431,7,Product Quality,8,6,8,3.8,0,0
194,Henrie Kliemke,82,Male,United States,Medium,Gold,02-11-2023,BodyCare,Online,7601,10,Product Quality,14,2,7,2.0,1,1
195,Maddy Frisby,65,Female,India,Medium,Silver,6/14/2024,Haircare,Offline,6829,1,Product Quality,23,8,9,0.7,6,1
196,Isahella Hazelton,34,Female,Japan,High,Silver,02-02-2024,Makeup,Online,8141,3,Product Quality,7,10,1,4.5,5,1
197,Celene Mahedy,43,Male,United States,Medium,Gold,6/19/2024,Skincare,Online,7507,9,Other,16,8,8,4.9,1,1
198,Hercule Danielot,25,Female,Australia,High,Gold,04-01-2023,Makeup,Online,8691,5,Product Quality,17,8,1,1.6,0,1
199,Claudian Senechault,8,Female,Japan,Medium,Gold,8/29/2023,Skincare,Offline,557,2,Late Delivery,9,10,8,3.1,0,1
200,Jammie Moscrop,37,Male,India,Medium,Gold,10-12-2024,Skincare,Online,7909,10,Product Quality,16,7,6,4.8,0,1
201,Scottie Gouly,44,Female,Australia,Low,Gold,08-03-2023,Makeup,Offline,1198,10,Product Quality,11,4,7,4.9,0,0
202,Warde Geke,30,Female,Canada,Medium,Gold,7/28/2024,Makeup,Online,2307,4,Late Delivery,9,8,5,1.6,2,1
203,Costanza Moylane,43,Female,India,Medium,Gold,06-10-2024,BodyCare,Online,7723,1,Side Effects,18,9,4,5.6,5,0
